ei	numCTs	pathway_name	gene_symbol	numVariantsAssociatedToGene	gp_class_names	pli	geneDescription	year_initial	year_final	num_pmids_evid	numDiseasesAssociatedToGene	num_pmid_assoc	pathway_id	score	gene_ncbi	gene_ensembl	gene_type	number_chem_evidence	genep_str_ids	dsi	dpi	num_var_dis
1.0	0	Developmental Biology,Metabolism,Signal Transduction,Cell Cycle,Disease,Immune System,Organelle biogenesis and maintenance,Programmed Cell Death,Vesicle-mediated transport,Gene expression (Transcription),Cellular responses to stimuli,Autophagy	HSP90AA1	1	Chaperone	1.0	heat shock protein 90 alpha family class A member 1	2011	2011	0	8	1	R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-1852241,R-HSA-5357801,R-HSA-5653656,R-HSA-74160,R-HSA-8953897,R-HSA-9612973	0.6	3320	ENSG00000080824	protein-coding	0	P07900	0.41	0.91	0
1.0	0	Metabolism	NDUFV2	26		0.82697	NADH:ubiquinone oxidoreductase core subunit V2	2008	2008	0	18	1	R-HSA-1430728	0.6	4729	ENSG00000178127	protein-coding	0	P19404	0.6	0.61	0
1.0	0	Signal Transduction,Disease	NTF3	4	Signaling	0.96535	neurotrophin 3	2008	2008	1	15	1	R-HSA-162582,R-HSA-1643685	0.6	4908	ENSG00000185652	protein-coding	1	P20783	0.47	0.91	0
1.0	0	Signal Transduction,Disease,Transport of small molecules,Vesicle-mediated transport	AVP	24	Signaling	3.3806E-5	arginine vasopressin	2006	2006	3	43	1	R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-5653656	0.6	551	ENSG00000101200	protein-coding	4	P01185	0.38	0.96	0
1.0	0	Hemostasis,Neuronal System,Signal Transduction,Cell Cycle,Immune System,Gene expression (Transcription)	PRKCB	15	Kinase	1.0	protein kinase C beta	2010	2010	0	14	1	R-HSA-109582,R-HSA-112316,R-HSA-162582,R-HSA-1640170,R-HSA-168256,R-HSA-74160	0.6	5579	ENSG00000166501	protein-coding	0	P05771	0.48	0.91	0
1.0	0	Developmental Biology,Signal Transduction,Disease,Immune System	MAP2K1	113	Kinase	0.96688	mitogen-activated protein kinase kinase 1	2014	2014	0	35	1	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256	0.6	5604	ENSG00000169032	protein-coding	0	Q02750	0.38	0.91	0
0.5	0	Protein localization,Autophagy	TOMM40	48	Transporter	0.99571	translocase of outer mitochondrial membrane 40	2014	2014	0	7	1	R-HSA-9609507,R-HSA-9612973	0.6	10452	ENSG00000130204	protein-coding	0	O96008	0.49	0.91	0
1.0	0	Immune System,Cellular responses to stimuli	HSPA1L	12		2.4815E-7	heat shock protein family A (Hsp70) member 1 like	2007	2007	1	11	1	R-HSA-168256,R-HSA-8953897	0.6	3305	ENSG00000204390	protein-coding	1	P34931	0.4	0.91	1
1.0	0	Disease,Immune System	KPNA3	7	Transporter	0.99999	karyopherin subunit alpha 3	2012	2012	1	6	1	R-HSA-1643685,R-HSA-168256	0.6	3839	ENSG00000102753	protein-coding	1	O00505	0.62	0.7	0
0.75	0	Metabolism,Immune System	PTGS2	1	Enzyme	1.0	prostaglandin-endoperoxide synthase 2	2010	2010	1	142	1	R-HSA-1430728,R-HSA-168256	0.6	5743	ENSG00000073756	protein-coding	1	P35354	0.31	0.96	0
